kr_1_test,kr_1_duration,kr_1_1,kr_1_2,kr_1_3,kr_1_3_rescale,kr_1_4a,kr_1_4b,kr_1_open,kr_1_sum,fisher,suspected,k_11_lms,k_12_lms,k_13_lms,k_14_lms,kr_2_test,kr_2_duration,kr_2_1,kr_2_2,kr_2_3,k2_open,k2_sum,domashka,auditorka,exam,exam_10,unround,Itog,V38,kr3_min,kr3_1,kr3_2,kr3_3,kr3_4,kr3_5,kr3_sum,sex,ip
16,43 мин. 47 сек.,0,4,0,0,0,,4,52,"0,92",0,0,4,0,0,16,1 ч. 9 мин.,0,6,10,16,69,9,0,19,5,"5,728",6,,30,5,0,5,0,11,51,female,0
19,36 мин. 23 сек.,10,5,12,8,0,5,28,"85,0","0,67",0,10,5,8,5,19,1 ч. 4 мин.,10,8,3,21,84,10,10,28,9,"8,848",9,,35,5,3,10,5,27,85,female,1
18,39 мин. 2 сек.,0,5,10,10,6,,21,75,"0,72",0,0,5,10,6,16,1 ч. 10 мин.,8,0,10,18,71,10,10,10,2,"6,115",6,,,,,,,,0,female,0
3,17 мин. 52 сек.,0,0,0,0,0,,0,9,"1,00",0,0,0,0,0,0,41 мин. 11 сек.,,,,0,0,0,0,14,,"0,248",0,,,,,,,,0,female,0
18,44 мин. 59 сек.,9,3,8,8,0,,20,74,"0,73",0,9,3,8,0,11,1 ч. 10 мин.,1,0,0,1,38,9,9,12,3,"5,330",5,,10,5,0,6,4,4,29,male,0
17,44 мин. 53 сек.,10,5,7,5,0,0,20,"70,7","0,72",0,10,5,5,0,20,1 ч. 9 мин.,2,8,2,12,79,9,9,17,5,"6,966",7,,35,5,10,7,5,26,88,female,1
16,40 мин. 16 сек.,5,0,15,15,0,,20,68,"0,71",0,5,0,15,0,19,53 мин. 36 сек.,4,4,4,12,75,8,8,18,5,"6,633",7,,20,5,3,0,0,8,36,male,0
9,44 мин. 55 сек.,5,2,1,1,0,,8,35,"0,77",0,5,2,1,0,2,1 ч. 8 мин.,3,0,0,3,10,6,6,14,2,"2,738",3,,0,0,0,0,0,0,0,female,0
13,44 мин. 7 сек.,10,5,0,0,0,,15,54,"0,72",0,10,5,0,0,17,1 ч. 8 мин.,0,10,1,11,68,7,3,12,3,"5,105",5,,20,5,0,5,4,18,52,male,0
18,28 мин. 21 сек.,10,5,14,9,0,5,29,"83,3","0,65",0,10,5,9,5,21,51 мин. 10 сек.,10,8,4,22,92,10,10,29,10,"9,322",9,,40,5,10,8,5,30,98,male,1
10,43 мин. 49 сек.,,,,,,,0,30,"1,00",0,,,,0,0,1 ч. 12 мин.,,,,0,0,7,7,18,,"1,875",2,,,,,,,,0,female,0
11,37 мин. 59 сек.,0,5,0,0,10,,15,48,"0,69",0,0,5,0,10,7,1 ч.,4,0,1,5,28,9,9,13,3,"4,340",4,,25,0,0,0,2,2,29,male,0
10,39 мин. 55 сек.,10,0,6,6,7,,23,53,"0,57",0,10,0,6,7,19,1 ч. 2 мин.,1,7,0,8,71,10,10,23,7,"7,010",7,,25,5,0,5,5,11,51,male,0
17,38 мин. 15 сек.,0,5,0,0,8,,13,64,"0,80",0,0,5,0,8,16,1 ч. 8 мин.,4,0,10,14,67,10,8,18,5,"6,503",7,,5,5,0,0,0,0,10,female,0
20,34 мин. 5 сек.,10,5,15,15,6,,36,96,"0,63",0,10,5,15,6,19,50 мин. 18 сек.,0,10,10,20,83,0,3,14,4,"6,273",6,,40,,,,,,40,male,0
18,44 мин. 53 сек.,0,5,10,10,7,,22,76,"0,71",0,0,5,10,7,18,1 ч. 9 мин.,0,7,6,13,73,9,9,14,4,"6,648",7,,5,0,0,5,0,0,10,female,0
18,42 мин. 46 сек.,10,5,9,6,0,5,26,"80,0","0,68",0,10,5,6,5,12,1 ч. 9 мин.,4,8,0,12,52,7,7,19,5,"6,180",6,,5,0,3,0,0,0,8,male,1
17,46 мин. 45 сек.,10,5,11,7,0,5,27,"78,3","0,65",0,10,5,7,5,17,54 мин. 12 сек.,8,7,0,15,72,10,10,22,10,"8,634",9,,25,5,2,4,5,13,54,female,1
19,38 мин. 33 сек.,10,5,0,0,0,5,20,"77,0","0,74",0,10,5,0,5,16,46 мин. 13 сек.,0,8,2,10,63,10,10,27,8,"7,750",8,,40,5,4,4,5,10,68,female,1
